Time;CPU Core #1;CPU Core #2;CPU Core #3;CPU Core #4;,;CPU Core #12;CPU Core #23;CPU Core #34;CPU Core #45;CPU Package;CPU Core #16;CPU Core #27;CPU Core #38;CPU Core #49;CPU Package10;CPU Cores;CPU Graphics;CPU DRAM;Bus Speed;Memory;Used Memory;Available Memory
09/30/2023 22:55:28;26.2928848;1.5625;0;3.98105383;8,0;80;78;79;84;84;2217.601;2116.801;1915.201;2923.20166;11.5991631;8.457667;0.723116159;0;100.800056;59.67564;9.393543;6.347458
09/30/2023 22:55:33;3.89499664;34.1269836;3.174603;5.518353;11,7;78;76;78;78;78;1411.20081;1512.00085;1512.00085;1612.8009;9.467553;6.400134;0.713205338;0;100.800056;59.7300949;9.402115;6.33888626
09/30/2023 22:55:38;1.53846145;38.2936478;3.125763;2.36855149;11,3;85;81;81;85;84;2318.40063;2016.00049;2016.00049;2822.40063;11.15948;7.91965055;0.7337826;0;100.800026;59.6463661;9.388935;6.352066
09/30/2023 22:55:43;7.03125;19.9999981;2.30768919;2.30768919;7,9;78;79;79;78;78;1310.40137;1814.402;2016.0022;2016.0022;10.7108622;7.33183146;0.697886467;0;100.80011;59.6429;9.38839;6.35261154
09/30/2023 22:55:48;1.5625;5.505955;32.0808525;1.58730149;10,2;80;79;80;81;81;1512.00134;1512.00134;1612.80139;2016.00171;9.770107;6.37931252;0.7237801;0;100.800087;59.6273651;9.385944;6.355057
09/30/2023 22:55:53;10.15625;23.84615;0;6.25;10,1;80;78;80;81;79;1814.401;2016.00122;2016.00122;1612.8009;10.7813606;7.554652;0.7071231;0;100.800056;59.6585579;9.390854;6.35014725
09/30/2023 22:55:58;20.3125;32.2580643;15.8730145;15.2073746;20,9;78;78;80;79;79;1512.00049;1612.80054;2016.00061;3427.20117;12.4407282;9.105653;0.7345718;0;100.800034;59.5749;9.377686;6.36331558
09/30/2023 22:56:03;21.09375;0.78125;1.53846145;9.350962;8,2;77;75;77;78;78;1411.19788;1411.19788;1511.99768;1511.99768;10.0522575;7.08114529;0.6437955;0;100.79985;59.5905075;9.380142;6.360859
09/30/2023 22:56:08;1.56288147;30.9523811;1.58730149;1.61290169;8,9;85;79;81;92;92;2923.20215;2923.20215;2923.20215;3427.20264;12.8088446;9.308413;0.800038159;0;100.800079;59.5853462;9.37933;6.36167145
09/30/2023 22:56:13;12.3557682;17.96875;6.877148;12.476325;12,4;85;82;91;92;92;2721.60376;2822.404;1915.20276;3225.60449;13.1332512;9.983083;0.731392443;0;100.80014;59.17227;9.314308;6.426693
09/30/2023 22:56:18;2.34375;29.6875;4.6875;3.90625;10,2;78;76;78;78;78;1814.401;2016.0011;2822.40161;2016.0011;10.0076866;6.96438026;0.6990095;0;100.800056;58.9638367;9.281498;6.459503
09/30/2023 22:56:23;9.254807;17.1875;3.125;7.03125;9,1;77;75;78;78;78;1310.40088;1512.001;1512.001;2116.80127;9.791012;6.453926;0.672671;0;100.800064;58.9760475;9.283421;6.45758057
09/30/2023 22:56:28;13.28125;28.90625;3.125;5.46875;12,7;80;77;80;79;80;1512.00061;1411.20056;1512.00061;1512.00061;10.277751;7.32937241;0.726581752;0;100.800041;58.9752731;9.28329849;6.45770264
09/30/2023 22:56:33;8.59375;25.2976189;8.692956;14.8561478;14,4;76;74;77;77;77;1713.59741;1411.19788;1814.39734;2519.99634;11.2154226;8.089584;0.708568752;0;100.79985;59.12555;9.306953;6.4340477
09/30/2023 22:56:38;16.40625;12.5;1.57489777;2.30768919;8,2;76;78;80;88;88;2923.20215;2016.00146;1512.0011;1411.201;10.450532;7.37864065;0.6994835;0;100.800072;59.04679;9.294556;6.44644547
09/30/2023 22:56:43;29.2307682;8.59375;3.125;3.90625;11,2;79;77;78;82;83;2318.40039;2217.60034;2116.80029;2520.00049;12.6144981;9.164863;0.786624253;0;100.800018;59.12606;9.307034;6.43396759
09/30/2023 22:56:48;26.5625;13.28125;6.25;2.41935253;12,1;76;72;76;74;76;1915.20081;1310.40051;1310.40051;1612.80066;9.590191;6.603871;0.7394348;0;100.800041;59.2857628;9.332172;6.40882874
09/30/2023 22:56:53;6.25;3.90625;5.33799553;0;3,9;71;68;72;70;72;1310.40039;1411.20032;1310.40039;1411.20032;5.13287926;2.72933173;0.128205553;0;100.800026;59.2433052;9.325489;6.415512
09/30/2023 22:56:58;10.15625;7.8125;4.6875;0.7692337;5,9;67;66;68;67;69;1310.40088;1310.40088;1310.40088;1310.40088;4.43730164;2.05245256;0.108768545;0;100.800072;59.17603;9.314899;6.42610168
09/30/2023 22:57:03;7.8125;9.375;0.78125;0;4,5;66;64;67;66;67;1310.40027;1310.40027;1310.40027;1310.40027;4.613022;2.332081;0.07689392;0;100.800026;59.07851;9.299549;6.441452
09/30/2023 22:57:08;11.6346121;10.9375;12.5;26.5625;15,4;66;65;67;67;68;1310.401;1310.401;1310.401;1310.401;6.959637;4.26148367;0.305143267;0;100.800079;59.308445;9.335743;6.405258
09/30/2023 22:57:13;8.581734;10.76923;0.757575035;0;5,0;66;65;69;63;69;3427.20386;2217.60254;3024.00342;2016.00232;4.975767;2.70798635;0.08142602;0;100.800117;59.2915764;9.333088;6.407913
09/30/2023 22:57:18;15.625;21.09375;5.46875;6.060606;12,1;67;71;69;69;71;2419.20239;1915.2019;1310.40125;1310.40125;8.287156;5.71657753;0.276337355;0;100.8001;59.39237;9.348953;6.392048
09/30/2023 22:57:23;24.3551617;8.730162;0.793647766;12.6984119;11,6;66;67;72;69;70;1915.20093;2016.001;1310.40063;1411.20068;6.70589638;3.87836313;0.4619697;0;100.800049;59.7580147;9.406509;6.33449173
09/30/2023 22:57:28;22.65625;10.15625;13.28125;12.5;14,6;67;65;68;68;68;1512.00024;1310.40015;1310.40015;1310.40015;7.02865171;4.26386547;0.553216;0;100.800011;59.62487;9.385551;6.35544968
09/30/2023 22:57:33;17.7524033;5.432689;7.87450075;14.2113094;11,3;66;65;69;67;69;1310.401;1310.401;1512.00122;2016.00159;6.108031;3.634831;0.174297348;0;100.800079;59.5521431;9.374104;6.36689758
09/30/2023 22:57:38;19.3509579;22.4639416;5.432689;24.0144253;17,8;76;71;75;76;76;2822.40576;3124.80615;3024.006;3427.20679;8.337557;5.40009642;0.663559;0;100.8002;59.6509666;9.38966;6.35134125
09/30/2023 22:57:43;17.96875;17.2495;6.25;0.78125;10,6;73;72;70;72;72;2016.00208;1512.00146;1411.20142;1713.60168;10.2676668;7.026971;0.7966588;0;100.8001;59.5289;9.370445;6.370556
09/30/2023 22:57:48;37.0535736;7.8125;4.71230125;7.118058;14,2;74;71;75;76;75;2116.80078;2620.801;2116.80078;2419.201;12.5707865;9.248603;0.8020456;0;100.800041;59.442894;9.356907;6.384094
09/30/2023 22:57:53;5.46875;15.625;19.53125;5.46875;11,5;73;71;74;74;74;2016.00085;2016.00085;2419.201;1814.40076;9.6577;6.60070848;0.6185095;0;100.800041;59.45778;9.359249;6.381752
09/30/2023 22:57:58;14.0625;16.4434547;9.375;6.107223;11,5;76;73;74;74;76;2217.601;2721.60132;2016.001;1915.20093;10.87041;7.86846447;0.682362735;0;100.800049;59.37831;9.346741;6.39426041
09/30/2023 22:58:03;15.4927845;37.30159;6.299603;12.4158621;17,9;83;75;82;86;90;2822.40137;2520.00122;2016.001;2620.80127;12.0208178;8.857209;0.741880953;0;100.800049;59.424015;9.353935;6.387066
09/30/2023 22:58:08;21.0216351;23.0769215;10.1081734;6.25;15,1;76;72;76;78;79;2721.60059;2217.60059;2923.20068;1612.80042;11.540637;8.128181;0.7175209;0;100.800026;59.40645;9.35117;6.38983154
09/30/2023 22:58:13;43.3653831;37.2115364;46.09375;33.0853157;39,9;90;88;92;89;92;3326.40625;2620.805;2721.605;1512.00281;16.1141243;12.6198692;0.863182;0;100.800186;59.85182;9.421276;6.319725
09/30/2023 22:58:18;14.84375;20.3125;31.25;8.680558;18,8;80;78;79;88;88;2923.20068;1411.20032;2016.00049;3427.201;11.48834;8.499671;0.764474332;0;100.800026;61.28457;9.646805;6.09419632
09/30/2023 22:58:23;20.3125;25.14881;22.65625;20.3125;22,1;76;77;77;83;83;2923.20947;2016.00647;2419.20776;1814.40576;10.7896051;7.475387;0.9096324;0;100.800323;60.93579;9.591904;6.14909744
09/30/2023 22:58:28;7.824898;32.8125;0.78125;0;10,4;76;72;76;76;76;1612.8186;2217.62549;2016.02332;3326.43848;11.0770283;8.199382;0.7150971;0;100.801163;60.63175;9.54404449;6.19695663
09/30/2023 22:58:33;6.960225;36.71875;2.34375;7.8125;13,5;74;74;76;76;76;1512.00049;1411.20056;1512.00049;1512.00049;12.3794193;8.939486;0.697921753;0;100.800034;60.3719368;9.503147;6.237854
09/30/2023 22:58:38;12.5;15.0061016;9.350962;18.4615364;13,8;74;72;76;73;74;2116.80054;2217.60059;2016.00049;2116.80054;9.518555;6.37625933;0.6801675;0;100.800026;60.32405;9.495609;6.245392
09/30/2023 22:58:43;20.48611;33.9423065;17.96875;18.75;22,8;76;73;75;74;76;1411.20044;1612.80054;2116.80078;2620.801;11.0137138;7.90088272;0.710051954;0;100.800034;60.40097;9.507717;6.233284
09/30/2023 22:58:48;3.125;31.25;0;0.78125;8,8;73;74;75;75;76;2016.00134;2217.60132;2016.00134;3024.002;9.321005;6.348735;0.6397016;0;100.800064;60.35863;9.501053;6.23994827
09/30/2023 22:58:53;15.625;25.78125;7.8125;14.0625;15,8;73;72;74;76;77;2923.20386;2620.80347;2520.00317;2217.60278;10.1249142;6.92972469;0.684478939;0;100.800133;59.3478966;9.341953;6.399048
09/30/2023 22:58:58;21.875;20.3125;4.737103;2.38095522;12,3;72;73;75;84;84;1411.20093;2419.20166;2016.00134;1713.60107;10.4944153;7.4691596;0.701401651;0;100.800064;59.33801;9.340397;6.40060425
09/30/2023 22:59:03;3.90625;33.59375;0.793647766;3.125;10,4;78;76;78;78;78;2016.00159;1915.20154;2016.00159;2721.602;10.4954939;7.536623;0.738303542;0;100.800079;59.3829651;9.347473;6.393528
09/30/2023 22:59:08;25.3846169;6.153846;9.326923;10.76923;12,9;74;76;76;81;81;1512.00159;1411.20154;1411.20154;1411.20154;9.455873;6.22056055;0.6620933;0;100.8001;59.27665;9.330738;6.410263
09/30/2023 22:59:13;3.90625;22.65625;13.4796619;2.36855149;10,6;73;73;76;78;78;2116.80176;2016.00171;1411.20117;1713.60144;10.9265966;8.011809;0.6925712;0;100.800087;59.24803;9.326233;6.414768
09/30/2023 22:59:18;13.28125;24.21875;1.5625;6.25;11,3;76;75;75;77;77;1411.20068;1310.40063;1411.20068;1310.40063;11.17657;7.89297342;0.7248999;0;100.800041;59.18582;9.316441;6.42456055
09/30/2023 22:59:23;7.03125;21.09375;3.03030014;5.46875;9,2;71;70;75;74;75;2318.40063;3427.20117;2923.201;2923.201;9.753292;6.6032;0.698788047;0;100.800034;59.1916351;9.317356;6.423645
09/30/2023 22:59:28;18.2539711;14.84375;4.6875;7.78846169;11,4;76;76;75;78;78;2016.00244;1512.00183;1512.00183;1310.40161;9.588598;6.475462;0.6679042;0;100.800117;59.1860352;9.316475;6.424526
