Linha do Tempo;Valores;Previsão;Limite de Confiança Inferior;Limite de Confiança Superior
218;;11116848,28;-256185825,45;278419522,00
219;;208791030,8;-60618531,51;478200593,02
220;;139057055,6;-132472068,25;410586179,39
221;;99641591,43;-174019671,78;373302854,65
222;;54039723,14;-221766163,32;329845609,60
223;;6796233,582;-271166667,20;284759134,37
224;;6923945,621;-273208269,01;287056160,25
225;;171958552,6;-110355184,99;454272290,25
226;;97672113,15;-186835267,44;382179493,74
227;;112857796,5;-173855259,04;399570852,05
228;;9871556,939;-279059118,73;298802232,61
229;;49674270,07;-241485885,25;340834425,40
230;;77973327,44;-215428082,57;371374737,45
231;;42288330,73;-253366025,67;337942687,12
232;;105952288;-191966624,24;403871200,32
233;;4158670,708;-296036325,88;304353667,30
234;;2512507,487;-299998775,84;305023790,81
235;;4099541,887;-300710426,95;308909510,73
236;;3036742,817;-304083205,59;310156691,22
237;;4360392,852;-305080752,47;313801538,17
238;;45814987,45;-265958496,50;357588471,41
239;;37262978,98;-276853910,75;351379868,72
240;;1995312,972;-314475976,14;318466602,09
241;;60934233,05;-257902376,56;379770842,65
242;;185457361,7;-135755417,99;506670141,42
243;;70766886,32;-252832842,61;394366615,26
244;;155055213,5;-170942174,26;481052601,35
245;;36947807,62;-291457880,17;365353495,41
246;;92379830,42;-238444730,92;423204391,76
247;;109825913,9;-223428028,00;443079855,71
248;;226468257,8;-109225505,84;562162021,51
249;;144949591,8;-193194370,20;483093553,89
250;;163976755;-176627718,16;504581228,12
251;;13634893,98;-329440340,05;356710128,01
252;;211309076,5;-134247106,20;556865259,13
253;;141575101,3;-206472156,59;489622359,14
254;;102159637,1;-248388762,17;452708036,45
255;;56557768,85;-296501778,67;409617316,37
256;;9314279,29;-346266364,57;364894923,15
257;;9441991,329;-348669639,17;367553621,83
258;;174476598,3;-186175852,09;535129048,76
259;;100190158,9;-263012888,54;463393206,26
260;;115375842,2;-250387523,78;481139208,21
261;;12389602,65;-355943748,88;380722954,17
262;;52192315,78;-318720634,30;423105265,86
263;;80491373,15;-293010735,33;453993481,63
264;;44806376,44;-331294397,86;420907150,73
265;;108470333,7;-270238562,04;487179229,53
266;;6676716,417;-374649705,54;388003138,38
